,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
7838,CHORROARIN 121 - 127 -,977,1599000,107452800,1637,109982,67,SEGUNDO,AGRONOMIA,15
7818,Cabrera,278,1190000,79968000,4281,287655,67,SEGUNDO,RECOLETA,2
398,BRASIL 100,1302,6500000,520000000,4992,399386,80,CUARTO,BOCA,4
3269,ESCOBAR,373,399900,25593600,1072,68616,64,SEGUNDO,VILLA PUEYRREDON,12
6278,BOLIVIA,554,1600000,111200000,2888,200722,70,SEGUNDO,FLORES NORTE,7
3976,Elia,153,148000,9472000,967,61908,64,SEGUNDO,PARQUE PATRICIOS,4
7493,BRASIL,1226,1000000,67200000,816,54812,67,SEGUNDO,SAN TELMO,1
1022,PUAN,77,68000,4352000,883,56519,64,SEGUNDO,PARQUE CHACABUCO,7
10245,MELINCUE,301,275000,17600000,914,58472,64,SEGUNDO,VILLA REAL,10
3673,Av Directorio,2353,850000,54400000,361,23119,64,SEGUNDO,FLORESTA,10
8847,Castro Barros,260,289000,19420800,1112,74695,67,SEGUNDO,BOEDO,5
6041,Pichincha al 2100,200,650000,45175000,3250,225875,70,SEGUNDO,PARQUE PATRICIOS,4
7665,Vuelta De Obligado,300,1050000,70560000,3500,235200,67,SEGUNDO,NUÑEZ,13
4716,Av. San Juan,205,350000,24325000,1707,118659,70,SEGUNDO,CONSTITUCION,1
1807,Lavalle 1900,446,1950000,124800000,4372,279821,64,SEGUNDO,BALVANERA,3
8535,Plaza 800,142,345000,23184000,2430,163268,67,SEGUNDO,VILLA ORTUZAR,15
2911,CORDOBA,226,1500000,96000000,6637,424779,64,SEGUNDO,VILLA CRESPO,15
3305,Tamborini al 5100,148,295000,18880000,1993,127568,64,SEGUNDO,VILLA URQUIZA,12
8989,Albariño,179,299000,20092800,1670,112250,67,SEGUNDO,LINIERS,9
5734,Av Alberdi,536,800000,55600000,1493,103731,70,SEGUNDO,FLORESTA,10
3685,Bahia Blanca,350,450000,28800000,1286,82286,64,SEGUNDO,FLORESTA,10
2471,Sor Juana Inés De La Cruz,225,190000,12160000,844,54044,64,SEGUNDO,CABALLITO,6
3383,Miller al 2200,123,640000,40960000,5203,333008,64,SEGUNDO,VILLA URQUIZA,12
924,PARAGUAY,580,1600000,102400000,2759,176552,64,SEGUNDO,RETIRO,1
8833,24 de Noviembre al 1500,997,1800000,120960000,1805,121324,67,SEGUNDO,BOEDO,5
456,SEGUROLA 1700,850,1500000,120000000,1765,141176,80,CUARTO,MONTE CASTRO,10
7173,Medrano,200,650000,43680000,3250,218400,67,SEGUNDO,ALMAGRO,5
8015,Av La Plata 1300,320,720000,48384000,2250,151200,67,SEGUNDO,PARQUE CHACABUCO,7
7569,Av Melian 3300,163,550000,36960000,3374,226748,67,SEGUNDO,COGHLAN,12
8714,QUESADA,465,580000,38976000,1247,83819,67,SEGUNDO,VILLA URQUIZA,12
8291,Humboldt 163,367,550000,36960000,1499,100708,67,SEGUNDO,VILLA CRESPO,15
5135,Carranza Angel 1400,453,1650000,114675000,3642,253146,70,SEGUNDO,PALERMO,14
