DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
RAWSON 200,1300,830000,52912500,638,40702,64,PRIMER,ALMAGRO,5
ARREGUI,330,348000,22272000,1055,67491,64,SEGUNDO,MONTE CASTRO,10
HUMBOLDT 1300,159,850000,54187500,5346,340802,64,TERCER,CHACARITA,15
SAN BLAS,373,520000,34944000,1394,93684,67,SEGUNDO,VELEZ SARSFIELD,10
M Leguizamon,1800,2500000,168000000,1389,93333,67,SEGUNDO,LINIERS,9
SAN MARTIN,292,1290000,82560000,4418,282740,64,SEGUNDO,VILLA DEVOTO NORTE,11
VIRREY LORETO,2390,2500000,160000000,1046,66946,64,SEGUNDO,CHACARITA,15
"JUSTO, JUAN B. 6500",176,490000,31237500,2784,177486,64,PRIMER,VILLA SANTA RITA,11
Alberdi,202,390000,24960000,1931,123564,64,SEGUNDO,VILLA LURO,10
Yatay,221,650000,45175000,2941,204412,70,SEGUNDO,ALMAGRO,5
BESARES 4100,150,265000,21200000,1767,141333,80,CUARTO,SAAVEDRA,12
Bucarelli al 2700,422,1300000,87360000,3081,207014,67,SEGUNDO,VILLA URQUIZA,12
Elia,153,148000,9472000,967,61908,64,SEGUNDO,PARQUE PATRICIOS,4
Constitucion,176,230000,15985000,1307,90824,70,SEGUNDO,SAN CRISTOBAL,3
Ricardo Gutierrez entre Simbron y Llavallol,593,1200000,83400000,2024,140641,70,SEGUNDO,VILLA DEL PARQUE,11
"CITTADINI, BASILIO 2300",163,163000,13040000,1000,80000,80,CUARTO,VILLA DEL PARQUE,11
Manuel Artigas,240,400000,27800000,1668,115891,70,SEGUNDO,MATADEROS,9
CARRASCO 822,300,190000,15200000,633,50667,80,CUARTO,VELEZ SARSFIELD,10
Argerich 2500,458,650000,45175000,1419,98635,70,SEGUNDO,VILLA DEL PARQUE,11
"GARCIA, MANUEL",395,430000,27520000,1089,69671,64,SEGUNDO,PARQUE PATRICIOS,4
Claudio M Cuenca,260,350000,22400000,1346,86154,64,SEGUNDO,VILLA SANTA RITA,11
Laguna,187,179900,12503050,962,66861,70,SEGUNDO,VELEZ SARSFIELD,10
LAVALLE 3100,483,1350000,90720000,2795,187826,67,SEGUNDO,BALVANERA,3
Joaquin V. Gonzalez,600,1050000,67200000,1750,112000,64,SEGUNDO,MONTE CASTRO,10
Albariño al 900,155,310000,21545000,2000,139000,70,SEGUNDO,MATADEROS,9
SUNCHALES 721,170,250000,20000000,1471,117647,80,CUARTO,VILLA CRESPO,15
Felipe Vallese 3900,290,750000,52125000,2586,179741,70,SEGUNDO,FLORESTA,10
NEUQUEN,234,645000,44827500,2756,191571,70,SEGUNDO,FLORES NORTE,7
San Antonio,267,220000,14080000,824,52734,64,SEGUNDO,BARRACAS ESTE,4
Manuel Artigas al 6600,239,373000,25065600,1561,104877,67,SEGUNDO,MATADEROS,9
NICOLAS REPETTO 1300,508,1500000,100800000,2953,198425,67,SEGUNDO,CABALLITO,6
SOLER 4500,267,620000,49600000,2322,185768,80,CUARTO,PALERMO,14
San Juan Av.,7185,13000000,832000000,1809,115797,64,SEGUNDO,BOEDO,5
San Nicolas,166,240000,16128000,1446,97157,67,SEGUNDO,VILLA DEVOTO NORTE,11
CHILE,314,420000,28224000,1338,89885,67,SEGUNDO,BALVANERA,3
MURGUIONDO,167,209900,14588050,1257,87354,70,SEGUNDO,MATADEROS,9
Pi Y Margall,219,450000,30240000,2055,138082,67,SEGUNDO,BOCA,4
Av Nazca,650,2300000,159850000,3538,245923,70,SEGUNDO,VILLA DEL PARQUE,11
Manuel Ugarte,320,830000,57685000,2594,180266,70,SEGUNDO,COGHLAN,12
FRAGA 100,475,1000000,63750000,2105,134211,64,PRIMER,CHACARITA,15
Tinogasta,824,1350000,86400000,1638,104854,64,SEGUNDO,VILLA DEVOTO SUR,11
"BILBAO, FRANCISCO 3300",1069,950000,60562500,889,56653,64,TERCER,FLORES SUR,7
Garcia De Cossio,200,280000,18816000,1400,94080,67,SEGUNDO,LINIERS,9
Dr C Argerich,140,278000,19321000,1986,138007,70,SEGUNDO,VILLA DEL PARQUE,11
Jose E Colombres,375,330000,22176000,880,59136,67,SEGUNDO,BOEDO,5
DIRECTORIO 3700,250,575000,36656250,2300,146625,64,TERCER,FLORESTA,10
Estivao al 100,204,540000,36288000,2647,177882,67,SEGUNDO,CABALLITO,6
ESPINOSA,117,255000,16320000,2179,139487,64,SEGUNDO,PATERNAL,15
Saenz,878,2200000,147840000,2506,168383,67,SEGUNDO,NUEVA POMPEYA,4
YERBAL 6300,161,230000,14662500,1429,91071,64,PRIMER,LINIERS,9
Av B Rivadavia,542,900000,57600000,1661,106273,64,SEGUNDO,VELEZ SARSFIELD,10
Corvalan,353,280000,17920000,793,50765,64,SEGUNDO,MATADEROS,9
"AV. Alberdi, Juan Bautista",256,870000,58464000,3398,228375,67,SEGUNDO,FLORES NORTE,7
Av. Juan B. Justo al 6200,640,1150000,73600000,1797,115000,64,SEGUNDO,VILLA SANTA RITA,11
Lope de Vega 1000,290,400000,27800000,1379,95862,70,SEGUNDO,VILLA LURO,10
ALMIRANTE JUAN FRANCISCO SEGUI,321,390000,24960000,1215,77757,64,SEGUNDO,PATERNAL,15
Av. Triunvirato,176,863000,55232000,4903,313818,64,SEGUNDO,VILLA ORTUZAR,15
O'HIGGINS 2800,268,1300000,82875000,4851,309235,64,PRIMER,BELGRANO,13
Capitán Ramón Freire,547,1350000,90720000,2468,165850,67,SEGUNDO,BELGRANO,13
QUESADA,119,260000,16640000,2185,139832,64,SEGUNDO,VILLA URQUIZA,12
Murguiondo,176,260000,18070000,1477,102670,70,SEGUNDO,LINIERS,9
Cachimayo,437,280000,17920000,641,41007,64,SEGUNDO,PARQUE CHACABUCO,7
DON BOSCO,198,530000,36835000,2677,186035,70,SEGUNDO,ALMAGRO,5
Francisco Beiro Avda. al 3800,225,890000,61855000,3956,274911,70,SEGUNDO,VILLA DEVOTO NORTE,11
3 DE FEBRERO,320,670000,42880000,2094,134000,64,SEGUNDO,NUÑEZ,13
ALTOLAGUIRRE,225,260000,16640000,1156,73956,64,SEGUNDO,PARQUE CHAS,15
curapaligue al 1800,363,310000,19840000,854,54656,64,SEGUNDO,PARQUE CHACABUCO,7
F Senillosa,216,1200000,83400000,5556,386111,70,SEGUNDO,CABALLITO,6
COCHRANE,770,2100000,134400000,2727,174546,64,SEGUNDO,VILLA DEVOTO NORTE,11
DORREGO,140,1150000,73600000,8214,525714,64,SEGUNDO,CHACARITA,15
Correa  al 4000,212,360000,24192000,1698,114113,67,SEGUNDO,SAAVEDRA,12
Cnel E Bonorino,149,430000,28896000,2886,193933,67,SEGUNDO,FLORES NORTE,7
G De Helguera,173,560000,35840000,3237,207168,64,SEGUNDO,VILLA DEL PARQUE,11
Alvarez Thomas,374,1100000,73920000,2941,197647,67,SEGUNDO,VILLA ORTUZAR,15
MELINCUE,212,600000,38400000,2830,181132,64,SEGUNDO,VILLA DEL PARQUE,11
Terrero  al 1700,300,780000,54210000,2600,180700,70,SEGUNDO,VILLA GRAL. MITRE,11
MILLER 2665,130,250000,16800000,1923,129231,67,SEGUNDO,VILLA URQUIZA,12
Pedro Rivera 2837  | USAA,225,990000,63360000,4400,281600,64,SEGUNDO,BELGRANO,13
MADARIAGA 6300,508,270000,21600000,532,42520,80,CUARTO,VILLA RIACHUELO,8
Cochabamba 4200,560,300000,20160000,536,36000,67,SEGUNDO,BOEDO,5
AGRELO 4000,230,660000,42075000,2870,182935,64,PRIMER,ALMAGRO,5
Bauness 2000,387,1150000,73600000,2972,190181,64,SEGUNDO,VILLA URQUIZA,12
MONTIEL,378,280000,19460000,741,51481,70,SEGUNDO,MATADEROS,9
CULPINA 26,269,460000,29325000,1710,109015,64,PRIMER,FLORES NORTE,7
Avenida Avellaneda 1600,294,850000,59075000,2891,200935,70,SEGUNDO,CABALLITO,6
Larrazabal,90,220000,14784000,2444,164267,67,SEGUNDO,LINIERS,9
"DIAZ, CESAR, GRAL.",1082,1800000,115200000,1664,106470,64,SEGUNDO,VILLA GRAL. MITRE,11
Mariano Acosta,250,250000,16000000,1000,64000,64,SEGUNDO,PARQUE AVELLANEDA,9
Pampa 2400,283,2250000,144000000,7951,508834,64,SEGUNDO,BELGRANO,13
Av Congreso al 3900 Esquina Tronador,250,770000,49280000,3080,197120,64,SEGUNDO,COGHLAN,12
Av. Asamblea al 200,300,630000,40320000,2100,134400,64,SEGUNDO,PARQUE CHACABUCO,7
Juramento,167,1400000,89600000,8383,536527,64,SEGUNDO,BELGRANO,13
Juan Domingo Peron,1047,950000,66025000,907,63061,70,SEGUNDO,ALMAGRO,5
Av. Mosconi,390,1150000,73600000,2947,188602,64,SEGUNDO,VILLA PUEYRREDON,12
MURGUIONDO,167,209900,14105280,1257,84463,67,SEGUNDO,MATADEROS,9
Pavón al 2700,148,295000,18880000,1993,127568,64,SEGUNDO,SAN CRISTOBAL,3
"ACHA, MARIANO, Gral.",255,320000,20480000,1255,80314,64,SEGUNDO,SAAVEDRA,12
Rio de Janeiro 500,196,950000,63840000,4847,325714,67,SEGUNDO,CABALLITO,6
E Mitre,347,700000,48650000,2017,140202,70,SEGUNDO,PARQUE CHACABUCO,7
Magariños Cervantes,314,285000,19152000,908,60994,67,SEGUNDO,VELEZ SARSFIELD,10
MIRANDA,449,400000,26880000,891,59866,67,SEGUNDO,MONTE CASTRO,10
Cortina,218,230000,14720000,1055,67523,64,SEGUNDO,VERSALLES,10
Dr C Argerich,460,1000000,64000000,2174,139130,64,SEGUNDO,FLORES NORTE,7
ANDONAEGUI,256,480000,30720000,1875,120000,64,SEGUNDO,PARQUE CHAS,15
Abraham J Luppi,175,148000,10286000,846,58777,70,SEGUNDO,NUEVA POMPEYA,4
CHORROARIN,341,760000,51072000,2229,149771,67,SEGUNDO,PARQUE CHAS,15
Obligado,390,1250000,84000000,3205,215385,67,SEGUNDO,NUÑEZ,13
Honduras,188,1300000,83200000,6915,442553,64,SEGUNDO,PALERMO,14
Bucarelli,166,920000,58880000,5542,354699,64,SEGUNDO,VILLA URQUIZA,12
Tacuari,461,720000,50040000,1562,108547,70,SEGUNDO,CONSTITUCION,1
FREIRE 1400,123,790000,50560000,6423,411057,64,SEGUNDO,COLEGIALES,13
Av Cordoba,305,1170000,81315000,3836,266607,70,SEGUNDO,CHACARITA,15
Av Congreso,1470,950000,60800000,646,41361,64,SEGUNDO,VILLA URQUIZA,12
INDEPENDENCIA 3000,460,2400000,153000000,5217,332609,64,TERCER,SAN CRISTOBAL,3
Muñiz,302,1100000,73920000,3642,244768,67,SEGUNDO,ALMAGRO,5
CHARLONE 1100,127,650000,41437500,5118,326280,64,TERCER,CHACARITA,15
Dean Funes,226,330000,22935000,1460,101482,70,SEGUNDO,PARQUE PATRICIOS,4
Avda. San Juan 3700,294,1000000,69500000,3401,236395,70,SEGUNDO,BOEDO,5
CONSTITUCIÓN,289,315000,20160000,1090,69758,64,SEGUNDO,SAN CRISTOBAL,3
Cafayate e/ Patron y Alpatacal,225,250000,17375000,1111,77222,70,SEGUNDO,LINIERS,9
MALVINAS ARGENTINAS 100,246,1280000,81600000,5203,331707,64,PRIMER,CABALLITO,6
,1050,520000,33280000,495,31695,64,SEGUNDO,VILLA CRESPO,15
