DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Bartolome Mitre,1700,3300000,211200000,1941,124235,64,SEGUNDO,BALVANERA,3
NAVARRO,188,725000,50387500,3856,268019,70,SEGUNDO,VILLA DEVOTO SUR,11
fitz roy al 2000,700,3800000,264100000,5429,377286,70,SEGUNDO,PALERMO,14
Av De Los Constituyentes,256,350000,22400000,1367,87500,64,SEGUNDO,VILLA PUEYRREDON,12
Av. Alvarez Jonte,304,390000,27105000,1283,89161,70,SEGUNDO,VILLA DEL PARQUE,11
PARAGUAY,127,290000,20155000,2283,158701,70,SEGUNDO,PALERMO,14
"GARCIA, MANUEL",395,430000,27520000,1089,69671,64,SEGUNDO,PARQUE PATRICIOS,4
OLLEROS 3700,307,720000,45900000,2345,149511,64,TERCER,CHACARITA,15
Agrelo,153,320000,21504000,2092,140549,67,SEGUNDO,BALVANERA,3
La Pampa,314,365000,24528000,1162,78115,67,SEGUNDO,VILLA URQUIZA,12
DIRECTORIO 200,210,1200000,76500000,5714,364286,64,TERCER,PARQUE CHACABUCO,7
Cnel R L Falcon,470,350000,24325000,745,51755,70,SEGUNDO,VILLA LURO,10
SAN MARTIN 3200,240,640000,40800000,2667,170000,64,TERCER,PATERNAL,15
LADINES,215,359000,22976000,1670,106865,64,SEGUNDO,VILLA DEVOTO NORTE,11
DE LOS CONSTITUYENTES 3600,252,575000,36656250,2282,145461,64,TERCER,PARQUE CHAS,15
CULPINA 100,269,435000,27731250,1617,103090,64,TERCER,FLORES NORTE,7
Pasco al 1300,404,430000,29885000,1064,73973,70,SEGUNDO,PALERMO,14
Arregui,1333,1100000,70400000,825,52813,64,SEGUNDO,MONTE CASTRO,10
DIAZ VELEZ 5100,523,1600000,102000000,3059,195029,64,PRIMER,CABALLITO,6
DEAN FUNES 500,247,290000,23200000,1174,93927,80,CUARTO,BALVANERA,3
ZELAYA 3100,345,440000,28050000,1275,81304,64,PRIMER,BALVANERA,3
CORRIENTES,935,2350000,157920000,2513,168898,67,SEGUNDO,VILLA CRESPO,15
Juan Agustin Maza,98,190000,13205000,1939,134745,70,SEGUNDO,BOEDO,5
Araoz 700,1204,700000,44800000,581,37209,64,SEGUNDO,VILLA CRESPO,15
Arcos al 1400,295,1850000,124320000,6271,421424,67,SEGUNDO,BELGRANO,13
Cachi,153,135000,9072000,882,59294,67,SEGUNDO,NUEVA POMPEYA,4
Av. Colonia,225,350000,24325000,1556,108111,70,SEGUNDO,PARQUE PATRICIOS,4
Alberdi 2600,223,580000,40310000,2601,180762,70,SEGUNDO,FLORES NORTE,7
VEDIA,225,625000,40000000,2778,177778,64,SEGUNDO,SAAVEDRA,12
Bolivar al 200,874,2400000,161280000,2746,184531,67,SEGUNDO,MONTSERRAT,1
CAFAYATE 800,152,157000,12560000,1033,82632,80,CUARTO,LINIERS,9
Av Dr Juan Bautista Justo,118,360000,23040000,3051,195254,64,SEGUNDO,VILLA GRAL. MITRE,11
Alvarez Thomas,230,589000,37696000,2561,163896,64,SEGUNDO,VILLA ORTUZAR,15
RODRIGUEZ PENA 400,147,950000,76000000,6463,517007,80,CUARTO,SAN NICOLAS,1
"BONORINO, ESTEBAN, Cnel. 300",149,430000,27412500,2886,183976,64,PRIMER,FLORES NORTE,7
Ruiz Huidobro,225,400000,25600000,1778,113778,64,SEGUNDO,SAAVEDRA,12
DARWIN 700,149,380000,30400000,2550,204027,80,CUARTO,VILLA CRESPO,15
HUMBOLDT al 1300,159,850000,54400000,5346,342138,64,SEGUNDO,PALERMO,14
CORDOBA,449,1700000,108800000,3786,242316,64,SEGUNDO,PALERMO,14
Luis viale 2700,120,250000,16800000,2083,140000,67,SEGUNDO,VILLA SANTA RITA,11
Luna,450,420000,29190000,933,64867,70,SEGUNDO,PARQUE PATRICIOS,4
Paez al 2900,540,2000000,134400000,3704,248889,67,SEGUNDO,FLORES NORTE,7
