DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
DE LOS CONSTITUYENTES 3000,123,205000,13068750,1667,106250,64,TERCER,PATERNAL,15
Pacheco al 2000,168,800000,51200000,4762,304762,64,SEGUNDO,VILLA URQUIZA,12
"DUMONT, SANTOS 3780",647,425000,27093750,657,41876,64,PRIMER,CHACARITA,15
R Alcaraz,426,450000,30240000,1056,70986,67,SEGUNDO,MONTE CASTRO,10
Arenales,2300,2500000,173750000,1087,75543,70,SEGUNDO,RECOLETA,2
LADINES,215,359000,22976000,1670,106865,64,SEGUNDO,VILLA DEVOTO NORTE,11
"ACOSTA, MARIANO 1200",250,250000,20000000,1000,80000,80,CUARTO,PARQUE AVELLANEDA,9
CONGRESO,1186,7900000,505600000,6661,426307,64,SEGUNDO,VILLA URQUIZA,12
ARAOZ 1100,220,793000,50553750,3604,229790,64,TERCER,VILLA CRESPO,15
Jose E Colombres,375,355000,24672500,947,65793,70,SEGUNDO,BOEDO,5
Juana Azurduy,658,2500000,173750000,3799,264058,70,SEGUNDO,COGHLAN,12
Griveo,207,280000,17920000,1353,86570,64,SEGUNDO,VILLA PUEYRREDON,12
AV. AMANCIO ALCORTA al 1900,2000,1850000,128575000,925,64288,70,SEGUNDO,BARRACAS ESTE,4
Caboto,1200,1200000,83400000,1000,69500,70,SEGUNDO,BOCA,4
Cnel J Terrada,308,720000,50040000,2338,162468,70,SEGUNDO,VILLA SANTA RITA,11
DIRECTORIO 64,6200,4500000,360000000,726,58064,80,CUARTO,CABALLITO,6
NAZCA,210,795000,50880000,3786,242286,64,SEGUNDO,VILLA SANTA RITA,11
Terrero,1949,4000000,256000000,2052,131349,64,SEGUNDO,FLORES NORTE,7
Curapaligue 300,888,2700000,172800000,3041,194595,64,SEGUNDO,FLORES NORTE,7
BLANCO ENCALADA Y VIDAL,168,1200000,76800000,7143,457143,64,SEGUNDO,BELGRANO,13
RIVADAVIA 4100,394,1290000,82237500,3274,208725,64,TERCER,ALMAGRO,5
Arcos  al 2300,375,1699999,108799936,4533,290133,64,SEGUNDO,BELGRANO,13
Uspallata,160,140000,9408000,875,58800,67,SEGUNDO,NUEVA POMPEYA,4
EL NENE,150,198000,12672000,1320,84480,64,SEGUNDO,VILLA REAL,10
"BRASIL, AV. 1373/1300",233,1100000,73920000,4721,317253,67,SEGUNDO,CONSTITUCION,1
"BOCAYUVA, QUINTINO 600",210,310000,19762500,1476,94107,64,TERCER,ALMAGRO,5
Antezana,408,2500000,160000000,6127,392157,64,SEGUNDO,VILLA CRESPO,15
WAGNER,338,305000,19520000,902,57751,64,SEGUNDO,VELEZ SARSFIELD,10
DIRECTORIO,303,650000,41600000,2145,137294,64,SEGUNDO,FLORES SUR,7
