,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
1402,LASCANO,5200,2600000,166400000,500,32000,64,SEGUNDO,MONTE CASTRO,10
847,AREVALO,145,900000,57600000,6207,397241,64,SEGUNDO,PALERMO,14
8309,Julian Alvarez,650,2180000,146496000,3354,225378,67,SEGUNDO,VILLA CRESPO,15
9067,Jose I Larraya,500,490000,32928000,980,65856,67,SEGUNDO,MATADEROS,9
2331,CABRERA,378,899000,57536000,2378,152212,64,SEGUNDO,PALERMO,14
7167,Jose Marmol 729,210,750000,50400000,3571,240000,67,SEGUNDO,ALMAGRO,5
6840,Dr Pedro Ignacio Rivera,125,530000,36835000,4240,294680,70,SEGUNDO,VILLA URQUIZA,12
7758,J Alvarez,253,2000000,134400000,7905,531225,67,SEGUNDO,PALERMO,14
1617,Yrigoyen,184,590000,37760000,3207,205217,64,SEGUNDO,ALMAGRO,5
4630,Dean Funes al 500,248,290000,20155000,1169,81270,70,SEGUNDO,BALVANERA,3
2533,Estivao al 100,204,540000,34560000,2647,169412,64,SEGUNDO,CABALLITO,6
5401,Av. Del Campo 1600,162,269500,18730250,1664,115619,70,SEGUNDO,PATERNAL,15
7222,Alsina Adolfo,393,640000,43008000,1628,109435,67,SEGUNDO,BALVANERA,3
4264,Campana,242,300000,19200000,1240,79339,64,SEGUNDO,VILLA SANTA RITA,11
597,OLIDEN 4279,254,219000,17520000,862,68976,80,CUARTO,VILLA LUGANO,8
9828,VUELTA DE OBLIGADO 3700,317,860000,54825000,2713,172950,64,TERCER,NUÑEZ,13
9290,Escalada De San Martin,420,470000,31584000,1119,75200,67,SEGUNDO,VELEZ SARSFIELD,10
2124,Arcos 2300,375,2300000,147200000,6133,392533,64,SEGUNDO,BELGRANO,13
3232,14 De Julio,350,550000,35200000,1571,100571,64,SEGUNDO,VILLA ORTUZAR,15
5329,F De Cespedes,423,650000,45175000,1537,106797,70,SEGUNDO,CHACARITA,15
9754,MEXICO 500,222,525000,33468750,2365,150760,64,TERCER,MONTSERRAT,1
9996,"VIALE, LUIS 300",270,470000,29962500,1741,110972,64,TERCER,VILLA CRESPO,15
2001,24 de Noviembre 1541,1069,1800000,115200000,1684,107764,64,SEGUNDO,SAN CRISTOBAL,3
2581,CESPEDES 3800,234,380000,24320000,1624,103932,64,SEGUNDO,CHACARITA,15
2056,Brasil,342,550000,35200000,1608,102924,64,SEGUNDO,SAN TELMO,1
5016,Ramallo,386,750000,52125000,1943,135039,70,SEGUNDO,NUÑEZ,13
6296,Santo Domingo al 2900,226,198000,13761000,876,60889,70,SEGUNDO,BARRACAS OESTE,4
7651,Obligado,390,1250000,84000000,3205,215385,67,SEGUNDO,NUÑEZ,13
7288,Mexico al 3200,8282,6000000,403200000,724,48684,67,SEGUNDO,BALVANERA,3
2299,Darregueyra 2400,177,1030000,65920000,5819,372429,64,SEGUNDO,PALERMO,14
8077,Gamarra,232,450000,30240000,1940,130345,67,SEGUNDO,PARQUE CHAS,15
5239,PAYSANDU al 1600,343,890000,61855000,2595,180335,70,SEGUNDO,CABALLITO,6
4192,Juan B Justo al 8400,2542,4500000,288000000,1770,113297,64,SEGUNDO,VILLA LURO,10
4897,Olazábal,184,810000,56295000,4402,305951,70,SEGUNDO,BELGRANO,13
8145,Crisologo Larralde,300,530000,35616000,1767,118720,67,SEGUNDO,SAAVEDRA,12
10240,"JUSTO, JUAN B.",424,439900,28153600,1038,66400,64,SEGUNDO,VILLA LURO,10
867,COSTA RICA,1123,1840000,117760000,1638,104862,64,SEGUNDO,PALERMO,14
4296,Gral Cesar Diaz,239,430000,27520000,1799,115146,64,SEGUNDO,VILLA SANTA RITA,11
4190,Alberdi,202,390000,24960000,1931,123564,64,SEGUNDO,VILLA LURO,10
4407,Av Argentina,277,185000,11840000,668,42744,64,SEGUNDO,VILLA LUGANO,8
1658,"DIAZ VELEZ, AVDA. 4200",411,950000,60800000,2311,147932,64,SEGUNDO,ALMAGRO,5
7350,Pres Luis Saenz Peña,219,400000,26880000,1826,122740,67,SEGUNDO,CONSTITUCION,1
5841,Manuel Artigas,240,400000,27800000,1668,115891,70,SEGUNDO,MATADEROS,9
9708,YATAY 100,220,370000,23587500,1682,107216,64,TERCER,ALMAGRO,5
10150,CAFAYATE 1200,100,250000,15937500,2500,159375,64,TERCER,MATADEROS,9
8561,COCHRANE,460,410000,27552000,891,59896,67,SEGUNDO,VILLA PUEYRREDON,12
3257,Av Mosconi,467,1600000,102400000,3426,219272,64,SEGUNDO,VILLA PUEYRREDON,12
2372,Paraguay,173,980000,62720000,5665,362543,64,SEGUNDO,PALERMO,14
3265,Carlos Antonio Lopez 2112,180,450000,28800000,2500,160000,64,SEGUNDO,VILLA PUEYRREDON,12
2507,VALENTIN VIRASORO,306,980000,62720000,3203,204967,64,SEGUNDO,CABALLITO,6
1929,Humberto Primo,350,380000,24320000,1086,69486,64,SEGUNDO,SAN CRISTOBAL,3
1380,BASUALDO 900,261,330000,21037500,1264,80603,64,PRIMER,MATADEROS,9
5789,AV DIRECTORIO,303,650000,45175000,2145,149092,70,SEGUNDO,FLORESTA,10
9653,J Bonifacio,252,475000,31920000,1885,126667,67,SEGUNDO,FLORES NORTE,7
754,CORDOBA,280,3200000,204800000,11429,731429,64,SEGUNDO,SAN NICOLAS,1
6647,Sanabria entre Simbrón y Tinogasta,814,2950000,205025000,3624,251873,70,SEGUNDO,VILLA DEVOTO SUR,11
5554,Rivas 2400,515,495000,34402500,961,66801,70,SEGUNDO,VILLA DEL PARQUE,11
6335,Av. Paseo Colon al 1100,494,1750000,121625000,3543,246204,70,SEGUNDO,SAN TELMO,1
8125,Av. Ricardo Balbin,425,780000,52416000,1835,123332,67,SEGUNDO,SAAVEDRA,12
9093,Rodo al 6800,118,150000,10080000,1271,85424,67,SEGUNDO,MATADEROS,9
10071,NUNEZ 4800,375,700000,44625000,1867,119000,64,TERCER,VILLA URQUIZA,12
7298,RINCON,510,800000,53760000,1569,105412,67,SEGUNDO,BALVANERA,3
7066,"Helguera 1800, entre San Blas y  García Agustín",286,635000,44132500,2220,154309,70,SEGUNDO,VILLA SANTA RITA,11
7543,Manuel Ugarte  2900,386,1100000,73920000,2850,191503,67,SEGUNDO,BELGRANO,13
7987,HUMBOLDT,151,390000,26208000,2583,173563,67,SEGUNDO,CHACARITA,15
2297,Cnel N Vega,180,730000,46720000,4056,259556,64,SEGUNDO,PALERMO,14
1051,CUCHA CUCHA,208,280000,17920000,1346,86154,64,SEGUNDO,PATERNAL,15
6240,Bolivia,165,220000,15290000,1333,92667,70,SEGUNDO,FLORES NORTE,7
8157,J Melian,279,1000000,67200000,3584,240860,67,SEGUNDO,SAAVEDRA,12
4500,Culpina,280,500000,32000000,1786,114286,64,SEGUNDO,FLORES NORTE,7
9289,DR. LUIS BELAUSTEGUI,152,249900,16793280,1644,110482,67,SEGUNDO,VELEZ SARSFIELD,10
5849,Av Alberdi,323,599000,41630500,1854,128887,70,SEGUNDO,MATADEROS,9
10083,"LE BRETON, TOMAS A.",753,1260000,80640000,1673,107092,64,SEGUNDO,VILLA URQUIZA,12
3508,Suarez,700,450000,28800000,643,41143,64,SEGUNDO,BOCA,4
9849,"MANSILLA, LUCIO NORBERTO, GRAL. 3500",148,675000,43031250,4561,290752,64,TERCER,PALERMO,14
9974,"VIALE, LUIS 800",500,600000,38250000,1200,76500,64,TERCER,VILLA CRESPO,15
233,CACHIMAYO 1900,173,120000,9600000,694,55491,80,CUARTO,PARQUE CHACABUCO,7
5347,Humboldt,200,411000,28564500,2055,142822,70,SEGUNDO,CHACARITA,15
8424,Gdero Baigorria,355,790000,53088000,2225,149544,67,SEGUNDO,VILLA DEL PARQUE,11
9907,DOBLAS 900,692,4000000,255000000,5780,368497,64,TERCER,CABALLITO,6
10295,PORTELA 200,324,850000,54187500,2624,167245,64,TERCER,FLORES NORTE,7
3557,Castro Barros 1000,367,850000,54400000,2316,148229,64,SEGUNDO,BOEDO,5
1442,USPALLATA,1151,900000,57600000,782,50043,64,SEGUNDO,PARQUE PATRICIOS,4
1818,Lavalle  1800,302,1900000,121600000,6291,402649,64,SEGUNDO,BALVANERA,3
1692,Venezuela,1235,1300000,83200000,1053,67368,64,SEGUNDO,ALMAGRO,5
9816,"GARCIA, TEODORO 2600",549,1400000,89250000,2550,162568,64,TERCER,COLEGIALES,13
7668,1400 E/Gorriti y Cabrera,860,645000,43344000,750,50400,67,SEGUNDO,PALERMO,14
4918,Superi,245,850000,59075000,3469,241122,70,SEGUNDO,COGHLAN,12
