DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
Sarmiento,258,950000,60800000,3682,235659,64,SEGUNDO,SAN NICOLAS,1
Conesa,485,490000,32928000,1010,67893,67,SEGUNDO,SAAVEDRA,12
Av. Angel Gallardo al 700,207,1150000,73600000,5556,355556,64,SEGUNDO,VILLA CRESPO,15
LLERENA,420,720000,46080000,1714,109714,64,SEGUNDO,PARQUE CHAS,15
VIDAL,340,890000,56960000,2618,167529,64,SEGUNDO,BELGRANO,13
Virrey Loreto esq Alvarez Thomas,213,510000,35445000,2394,166408,70,SEGUNDO,CHACARITA,15
"ALVAREZ, JULIAN",195,590000,37760000,3026,193641,64,SEGUNDO,VILLA CRESPO,15
ARISMENDI 2700,375,449000,35920000,1197,95787,80,CUARTO,PARQUE CHAS,15
ASUNCION,1040,3000000,192000000,2885,184615,64,SEGUNDO,VILLA DEVOTO NORTE,11
Av Alberdi,260,460000,31970000,1769,122962,70,SEGUNDO,VELEZ SARSFIELD,10
Medina y Av Rivadavia,449,600000,41700000,1336,92873,70,SEGUNDO,VILLA LURO,10
DEAN FUNES 500,247,290000,23200000,1174,93927,80,CUARTO,BALVANERA,3
Gral. Cesar Diaz 2700,299,390000,27105000,1304,90652,70,SEGUNDO,VILLA SANTA RITA,11
Echeverría 2700,171,990000,66528000,5789,389053,67,SEGUNDO,BELGRANO,13
ESTOMBA,824,680000,43520000,825,52816,64,SEGUNDO,VILLA ORTUZAR,15
Humbolt,390,380000,26410000,974,67718,70,SEGUNDO,VILLA CRESPO,15
CHARLONE,334,499000,31936000,1494,95617,64,SEGUNDO,VILLA ORTUZAR,15
MEDRANO,164,499000,31936000,3043,194732,64,SEGUNDO,ALMAGRO,5
Puán,77,68000,4352000,883,56519,64,SEGUNDO,PARQUE CHACABUCO,7
CHARCAS,242,1300000,90350000,5372,373347,70,SEGUNDO,PALERMO,14
MARTINEZ CASTRO,179,358000,22912000,2000,128000,64,SEGUNDO,PARQUE AVELLANEDA,9
Quintino Bocayuva,248,580000,38976000,2339,157161,67,SEGUNDO,ALMAGRO,5
MIRANDA 5600,173,180000,14400000,1040,83237,80,CUARTO,VILLA LURO,10
Simbron,113,258000,16512000,2283,146124,64,SEGUNDO,VILLA DEL PARQUE,11
Famatina,173,110000,7040000,636,40694,64,SEGUNDO,PARQUE PATRICIOS,4
Av Directorio,226,1200000,76800000,5310,339823,64,SEGUNDO,CABALLITO,6
Castro Barros al 1400,1581,900000,57600000,569,36433,64,SEGUNDO,BOEDO,5
ESCALADA,280,180000,11520000,643,41143,64,SEGUNDO,PARQUE AVELLANEDA,9
B Aizpurua,187,460000,30912000,2460,165305,67,SEGUNDO,VILLA URQUIZA,12
Sarmiento al 3000,1000,1900000,121600000,1900,121600,64,SEGUNDO,BALVANERA,3
Tapalque,158,159000,10684800,1006,67625,67,SEGUNDO,MATADEROS,9
Moliere,370,220000,15290000,595,41324,70,SEGUNDO,VILLA LURO,10
Dolores,250,450000,30240000,1800,120960,67,SEGUNDO,FLORESTA,10
Tinogasta al 3800,480,450000,30240000,938,63000,67,SEGUNDO,VILLA DEL PARQUE,11
AVALOS,194,625000,40000000,3222,206186,64,SEGUNDO,PARQUE CHAS,15
Ladines,167,269000,17216000,1611,103090,64,SEGUNDO,VILLA PUEYRREDON,12
Obispo San Alberto,360,440000,30580000,1222,84944,70,SEGUNDO,VILLA PUEYRREDON,12
CAMPILLO,193,390000,24960000,2021,129326,64,SEGUNDO,PARQUE CHAS,15
Bahia Blanca,352,520000,34944000,1477,99273,67,SEGUNDO,FLORESTA,10
MANUEL RODRIGUEZ 1500,188,375000,24000000,1995,127660,64,SEGUNDO,VILLA CRESPO,15
"GUTIERREZ, RICARDO 2900",1940,1200000,76500000,619,39433,64,PRIMER,VILLA DEL PARQUE,11
Av. Córdoba,614,3600000,250200000,5863,407492,70,SEGUNDO,VILLA CRESPO,15
Fitz Roy al 300,180,480000,33360000,2667,185333,70,SEGUNDO,PALERMO,14
Emilio Lamarca 1900,421,399900,25593600,950,60792,64,SEGUNDO,VILLA SANTA RITA,11
DEAN FUNES,188,255000,16320000,1356,86809,64,SEGUNDO,PARQUE PATRICIOS,4
Juan AgustÍn GarcÍa,337,450000,30240000,1335,89733,67,SEGUNDO,VERSALLES,10
CRAMER 300,288,280000,17850000,972,61979,64,TERCER,PALERMO,14
Pizarro N°6261,370,480000,32256000,1297,87178,67,SEGUNDO,MATADEROS,9
CORDOBA 5500,147,950000,60562500,6463,411990,64,TERCER,CHACARITA,15
BLANCO ENCALADA 5400,227,860000,57792000,3789,254590,67,SEGUNDO,VILLA URQUIZA,12
Crisologo Larralde al 3100,147,410000,27552000,2789,187429,67,SEGUNDO,SAAVEDRA,12
Mercedes,445,400000,26880000,899,60404,67,SEGUNDO,MONTE CASTRO,10
"MARTINEZ, ENRIQUE, GRAL. 800",1732,2000000,127500000,1155,73614,64,PRIMER,COLEGIALES,13
Salta al 300,202,349000,23452800,1728,116103,67,SEGUNDO,MONTSERRAT,1
CONDARCO,105,350000,22400000,3343,213945,64,SEGUNDO,VILLA DEL PARQUE,11
Gral Urquiza,322,880000,56320000,2733,174907,64,SEGUNDO,SAN CRISTOBAL,3
Avda. Juan de Garay 2300,173,235000,15792000,1358,91283,67,SEGUNDO,SAN CRISTOBAL,3
RUIZ DE LOS LLANOS 600,374,340000,21675000,909,57954,64,TERCER,VERSALLES,10
Juan Agustin Garcia,487,560000,35840000,1150,73593,64,SEGUNDO,MONTE CASTRO,10
HUMBOLDT 1400,81,490000,39200000,6049,483951,80,CUARTO,PALERMO,14
Gral Roman A Deheza,375,640000,44480000,1707,118613,70,SEGUNDO,SAAVEDRA,12
RINCON,510,800000,51200000,1569,100392,64,SEGUNDO,BALVANERA,3
Anibal Arbeletche,168,230000,15985000,1369,95149,70,SEGUNDO,NUEVA POMPEYA,4
RIVERA INDARTE 100,268,740000,51430000,2761,191903,70,SEGUNDO,FLORES NORTE,7
Ceretti,297,900000,57600000,3030,193939,64,SEGUNDO,VILLA URQUIZA,12
"RABANAL, FRANCISCO, INTENDENTE 2700",429,370000,29600000,862,68998,80,CUARTO,VILLA SOLDATI,8
INDEPENDENCIA 3400,196,675000,43031250,3444,219547,64,PRIMER,BOEDO,5
